,Name,GRID_kWh,GRID_v_kWh,PV_roofs_top_E_kWh,PV_roofs_top_m2,Enet,PV_Power_W,PV_Investment_€,E_PV_gen_kWh
2011-01-01 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-01 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-01 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-01 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-01 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-01 05:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-01 06:00:00,25Abril_Principal2,0.128,0.0,0.0,58.21,0.128,9313.6,10244.960000000001,0.0
2011-01-01 07:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-01 08:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-01 09:00:00,25Abril_Principal2,0.364,0.0,0.26,58.21,-0.22599999999999998,9313.6,10244.960000000001,0.59
2011-01-01 10:00:00,25Abril_Principal2,0.364,0.0,0.76,58.21,-1.476,9313.6,10244.960000000001,1.84
2011-01-01 11:00:00,25Abril_Principal2,0.948,0.0,0.79,58.21,-0.992,9313.6,10244.960000000001,1.94
2011-01-01 12:00:00,25Abril_Principal2,0.249,0.0,0.83,58.21,-1.7809999999999997,9313.6,10244.960000000001,2.03
2011-01-01 13:00:00,25Abril_Principal2,0.249,0.0,0.79,58.21,-1.6509999999999998,9313.6,10244.960000000001,1.9
2011-01-01 14:00:00,25Abril_Principal2,0.249,0.0,0.62,58.21,-1.3010000000000002,9313.6,10244.960000000001,1.55
2011-01-01 15:00:00,25Abril_Principal2,0.249,0.0,0.49,58.21,-1.0110000000000001,9313.6,10244.960000000001,1.26
2011-01-01 16:00:00,25Abril_Principal2,0.249,0.0,0.04,58.21,-0.04099999999999998,9313.6,10244.960000000001,0.29
2011-01-01 17:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.249,9313.6,10244.960000000001,0.0
2011-01-01 18:00:00,25Abril_Principal2,0.307,0.0,0.0,58.21,0.307,9313.6,10244.960000000001,0.0
2011-01-01 19:00:00,25Abril_Principal2,1.462,0.0,0.0,58.21,1.462,9313.6,10244.960000000001,0.0
2011-01-01 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-01 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-01 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-01 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-02 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-02 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-02 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-02 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-02 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-02 05:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-02 06:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-02 07:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-02 08:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-02 09:00:00,25Abril_Principal2,0.399,0.0,0.47,58.21,-0.45099999999999996,9313.6,10244.960000000001,0.85
2011-01-02 10:00:00,25Abril_Principal2,0.399,0.0,1.08,58.21,-1.811,9313.6,10244.960000000001,2.21
2011-01-02 11:00:00,25Abril_Principal2,0.983,0.0,1.36,58.21,-1.7969999999999997,9313.6,10244.960000000001,2.78
2011-01-02 12:00:00,25Abril_Principal2,0.249,0.0,1.17,58.21,-2.3209999999999997,9313.6,10244.960000000001,2.57
2011-01-02 13:00:00,25Abril_Principal2,0.249,0.0,0.85,58.21,-1.701,9313.6,10244.960000000001,1.95
2011-01-02 14:00:00,25Abril_Principal2,0.249,0.0,0.74,58.21,-1.411,9313.6,10244.960000000001,1.66
2011-01-02 15:00:00,25Abril_Principal2,0.249,0.0,0.47,58.21,-0.681,9313.6,10244.960000000001,0.93
2011-01-02 16:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.249,9313.6,10244.960000000001,0.0
2011-01-02 17:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.249,9313.6,10244.960000000001,0.0
2011-01-02 18:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.249,9313.6,10244.960000000001,0.0
2011-01-02 19:00:00,25Abril_Principal2,1.403,0.0,0.0,58.21,1.403,9313.6,10244.960000000001,0.0
2011-01-02 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-02 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-02 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-02 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-03 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-03 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-03 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-03 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-03 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-03 05:00:00,25Abril_Principal2,0.093,0.0,0.0,58.21,0.093,9313.6,10244.960000000001,0.0
2011-01-03 06:00:00,25Abril_Principal2,0.205,0.0,0.0,58.21,0.205,9313.6,10244.960000000001,0.0
2011-01-03 07:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-03 08:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-03 09:00:00,25Abril_Principal2,0.138,0.0,0.47,58.21,-0.612,9313.6,10244.960000000001,0.75
2011-01-03 10:00:00,25Abril_Principal2,0.115,0.0,0.89,58.21,-1.585,9313.6,10244.960000000001,1.7
2011-01-03 11:00:00,25Abril_Principal2,0.168,0.0,1.16,58.21,-1.9720000000000002,9313.6,10244.960000000001,2.14
2011-01-03 12:00:00,25Abril_Principal2,0.115,0.0,1.29,58.21,-2.3049999999999997,9313.6,10244.960000000001,2.42
2011-01-03 13:00:00,25Abril_Principal2,0.115,0.0,1.17,58.21,-2.155,9313.6,10244.960000000001,2.27
2011-01-03 14:00:00,25Abril_Principal2,0.115,0.0,0.94,58.21,-1.775,9313.6,10244.960000000001,1.89
2011-01-03 15:00:00,25Abril_Principal2,0.115,0.0,0.6,58.21,-1.125,9313.6,10244.960000000001,1.24
2011-01-03 16:00:00,25Abril_Principal2,0.115,0.0,0.0,58.21,-0.09499999999999999,9313.6,10244.960000000001,0.21
2011-01-03 17:00:00,25Abril_Principal2,0.191,0.0,0.0,58.21,0.191,9313.6,10244.960000000001,0.0
2011-01-03 18:00:00,25Abril_Principal2,0.267,0.0,0.0,58.21,0.267,9313.6,10244.960000000001,0.0
2011-01-03 19:00:00,25Abril_Principal2,1.502,0.0,0.0,58.21,1.502,9313.6,10244.960000000001,0.0
2011-01-03 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-03 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-03 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-03 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-04 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-04 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-04 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-04 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-04 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-04 05:00:00,25Abril_Principal2,0.093,0.0,0.0,58.21,0.093,9313.6,10244.960000000001,0.0
2011-01-04 06:00:00,25Abril_Principal2,0.205,0.0,0.0,58.21,0.205,9313.6,10244.960000000001,0.0
2011-01-04 07:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-04 08:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-04 09:00:00,25Abril_Principal2,0.138,0.0,0.3,58.21,-0.46199999999999997,9313.6,10244.960000000001,0.6
2011-01-04 10:00:00,25Abril_Principal2,0.115,0.0,0.72,58.21,-1.575,9313.6,10244.960000000001,1.69
2011-01-04 11:00:00,25Abril_Principal2,0.168,0.0,1.01,58.21,-2.022,9313.6,10244.960000000001,2.19
2011-01-04 12:00:00,25Abril_Principal2,0.115,0.0,1.12,58.21,-2.1649999999999996,9313.6,10244.960000000001,2.28
2011-01-04 13:00:00,25Abril_Principal2,0.115,0.0,0.94,58.21,-1.855,9313.6,10244.960000000001,1.97
2011-01-04 14:00:00,25Abril_Principal2,0.115,0.0,0.8,58.21,-1.655,9313.6,10244.960000000001,1.77
2011-01-04 15:00:00,25Abril_Principal2,0.115,0.0,0.59,58.21,-1.125,9313.6,10244.960000000001,1.24
2011-01-04 16:00:00,25Abril_Principal2,0.115,0.0,0.0,58.21,-0.075,9313.6,10244.960000000001,0.19
2011-01-04 17:00:00,25Abril_Principal2,0.191,0.0,0.0,58.21,0.191,9313.6,10244.960000000001,0.0
2011-01-04 18:00:00,25Abril_Principal2,0.267,0.0,0.0,58.21,0.267,9313.6,10244.960000000001,0.0
2011-01-04 19:00:00,25Abril_Principal2,1.502,0.0,0.0,58.21,1.502,9313.6,10244.960000000001,0.0
2011-01-04 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-04 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-04 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-04 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-05 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-05 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-05 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-05 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-05 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-05 05:00:00,25Abril_Principal2,0.093,0.0,0.0,58.21,0.093,9313.6,10244.960000000001,0.0
2011-01-05 06:00:00,25Abril_Principal2,0.205,0.0,0.0,58.21,0.205,9313.6,10244.960000000001,0.0
2011-01-05 07:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-05 08:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-05 09:00:00,25Abril_Principal2,0.138,0.0,0.45,58.21,-0.542,9313.6,10244.960000000001,0.68
2011-01-05 10:00:00,25Abril_Principal2,0.115,0.0,0.66,58.21,-1.105,9313.6,10244.960000000001,1.22
2011-01-05 11:00:00,25Abril_Principal2,0.168,0.0,0.66,58.21,-1.022,9313.6,10244.960000000001,1.19
2011-01-05 12:00:00,25Abril_Principal2,0.115,0.0,0.71,58.21,-1.135,9313.6,10244.960000000001,1.25
2011-01-05 13:00:00,25Abril_Principal2,0.115,0.0,0.7,58.21,-1.155,9313.6,10244.960000000001,1.27
2011-01-05 14:00:00,25Abril_Principal2,0.115,0.0,0.53,58.21,-0.785,9313.6,10244.960000000001,0.9
2011-01-05 15:00:00,25Abril_Principal2,0.115,0.0,0.36,58.21,-0.535,9313.6,10244.960000000001,0.65
2011-01-05 16:00:00,25Abril_Principal2,0.115,0.0,0.0,58.21,0.05500000000000001,9313.6,10244.960000000001,0.06
2011-01-05 17:00:00,25Abril_Principal2,0.191,0.0,0.0,58.21,0.191,9313.6,10244.960000000001,0.0
2011-01-05 18:00:00,25Abril_Principal2,0.267,0.0,0.0,58.21,0.267,9313.6,10244.960000000001,0.0
2011-01-05 19:00:00,25Abril_Principal2,1.502,0.0,0.0,58.21,1.502,9313.6,10244.960000000001,0.0
2011-01-05 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-05 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-05 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-05 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-06 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-06 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-06 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-06 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-06 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-06 05:00:00,25Abril_Principal2,0.093,0.0,0.0,58.21,0.093,9313.6,10244.960000000001,0.0
2011-01-06 06:00:00,25Abril_Principal2,0.205,0.0,0.0,58.21,0.205,9313.6,10244.960000000001,0.0
2011-01-06 07:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-06 08:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-06 09:00:00,25Abril_Principal2,0.138,0.0,0.39,58.21,-0.5519999999999999,9313.6,10244.960000000001,0.69
2011-01-06 10:00:00,25Abril_Principal2,0.115,0.0,0.87,58.21,-1.565,9313.6,10244.960000000001,1.68
2011-01-06 11:00:00,25Abril_Principal2,0.168,0.0,1.12,58.21,-1.872,9313.6,10244.960000000001,2.04
2011-01-06 12:00:00,25Abril_Principal2,0.115,0.0,1.06,58.21,-1.825,9313.6,10244.960000000001,1.94
2011-01-06 13:00:00,25Abril_Principal2,0.115,0.0,0.83,58.21,-1.365,9313.6,10244.960000000001,1.48
2011-01-06 14:00:00,25Abril_Principal2,0.115,0.0,0.56,58.21,-0.44500000000000006,9313.6,10244.960000000001,0.56
2011-01-06 15:00:00,25Abril_Principal2,0.115,0.0,0.0,58.21,0.115,9313.6,10244.960000000001,0.0
2011-01-06 16:00:00,25Abril_Principal2,0.115,0.0,0.0,58.21,0.115,9313.6,10244.960000000001,0.0
2011-01-06 17:00:00,25Abril_Principal2,0.191,0.0,0.0,58.21,0.191,9313.6,10244.960000000001,0.0
2011-01-06 18:00:00,25Abril_Principal2,0.267,0.0,0.0,58.21,0.267,9313.6,10244.960000000001,0.0
2011-01-06 19:00:00,25Abril_Principal2,1.502,0.0,0.0,58.21,1.502,9313.6,10244.960000000001,0.0
2011-01-06 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-06 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-06 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-06 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-07 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-07 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-07 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-07 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-07 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-07 05:00:00,25Abril_Principal2,0.093,0.0,0.0,58.21,0.093,9313.6,10244.960000000001,0.0
2011-01-07 06:00:00,25Abril_Principal2,0.205,0.0,0.0,58.21,0.205,9313.6,10244.960000000001,0.0
2011-01-07 07:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-07 08:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-07 09:00:00,25Abril_Principal2,0.138,0.0,0.15,58.21,-0.34199999999999997,9313.6,10244.960000000001,0.48
2011-01-07 10:00:00,25Abril_Principal2,0.115,0.0,0.53,58.21,-1.315,9313.6,10244.960000000001,1.43
2011-01-07 11:00:00,25Abril_Principal2,0.168,0.0,0.7,58.21,-1.572,9313.6,10244.960000000001,1.74
2011-01-07 12:00:00,25Abril_Principal2,0.115,0.0,0.92,58.21,-1.905,9313.6,10244.960000000001,2.02
2011-01-07 13:00:00,25Abril_Principal2,0.115,0.0,0.88,58.21,-1.675,9313.6,10244.960000000001,1.79
2011-01-07 14:00:00,25Abril_Principal2,0.115,0.0,0.69,58.21,-1.435,9313.6,10244.960000000001,1.55
2011-01-07 15:00:00,25Abril_Principal2,0.115,0.0,0.51,58.21,-1.075,9313.6,10244.960000000001,1.19
2011-01-07 16:00:00,25Abril_Principal2,0.115,0.0,0.0,58.21,-0.09499999999999999,9313.6,10244.960000000001,0.21
2011-01-07 17:00:00,25Abril_Principal2,0.191,0.0,0.0,58.21,0.191,9313.6,10244.960000000001,0.0
2011-01-07 18:00:00,25Abril_Principal2,0.267,0.0,0.0,58.21,0.267,9313.6,10244.960000000001,0.0
2011-01-07 19:00:00,25Abril_Principal2,1.502,0.0,0.0,58.21,1.502,9313.6,10244.960000000001,0.0
2011-01-07 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-07 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-07 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-07 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-08 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-08 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-08 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-08 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-08 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-08 05:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-08 06:00:00,25Abril_Principal2,0.128,0.0,0.0,58.21,0.128,9313.6,10244.960000000001,0.0
2011-01-08 07:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-08 08:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-08 09:00:00,25Abril_Principal2,0.364,0.0,0.41,58.21,-0.21599999999999997,9313.6,10244.960000000001,0.58
2011-01-08 10:00:00,25Abril_Principal2,0.364,0.0,0.78,58.21,-1.186,9313.6,10244.960000000001,1.55
2011-01-08 11:00:00,25Abril_Principal2,0.948,0.0,1.04,58.21,-1.2720000000000002,9313.6,10244.960000000001,2.22
2011-01-08 12:00:00,25Abril_Principal2,0.249,0.0,1.2,58.21,-2.271,9313.6,10244.960000000001,2.52
2011-01-08 13:00:00,25Abril_Principal2,0.249,0.0,1.22,58.21,-2.131,9313.6,10244.960000000001,2.38
2011-01-08 14:00:00,25Abril_Principal2,0.249,0.0,0.99,58.21,-1.7609999999999997,9313.6,10244.960000000001,2.01
2011-01-08 15:00:00,25Abril_Principal2,0.249,0.0,0.65,58.21,-1.1110000000000002,9313.6,10244.960000000001,1.36
2011-01-08 16:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.04899999999999999,9313.6,10244.960000000001,0.2
2011-01-08 17:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.249,9313.6,10244.960000000001,0.0
2011-01-08 18:00:00,25Abril_Principal2,0.307,0.0,0.0,58.21,0.307,9313.6,10244.960000000001,0.0
2011-01-08 19:00:00,25Abril_Principal2,1.462,0.0,0.0,58.21,1.462,9313.6,10244.960000000001,0.0
2011-01-08 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-08 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-08 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-08 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-09 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-09 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-09 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-09 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-09 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-09 05:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-09 06:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-09 07:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-09 08:00:00,25Abril_Principal2,0.201,0.0,0.0,58.21,0.201,9313.6,10244.960000000001,0.0
2011-01-09 09:00:00,25Abril_Principal2,0.399,0.0,0.46,58.21,-0.531,9313.6,10244.960000000001,0.93
2011-01-09 10:00:00,25Abril_Principal2,0.399,0.0,1.1,58.21,-1.911,9313.6,10244.960000000001,2.31
2011-01-09 11:00:00,25Abril_Principal2,0.983,0.0,1.31,58.21,-1.717,9313.6,10244.960000000001,2.7
2011-01-09 12:00:00,25Abril_Principal2,0.249,0.0,1.25,58.21,-2.451,9313.6,10244.960000000001,2.7
2011-01-09 13:00:00,25Abril_Principal2,0.249,0.0,1.06,58.21,-2.081,9313.6,10244.960000000001,2.33
2011-01-09 14:00:00,25Abril_Principal2,0.249,0.0,0.83,58.21,-1.681,9313.6,10244.960000000001,1.93
2011-01-09 15:00:00,25Abril_Principal2,0.249,0.0,0.54,58.21,-1.141,9313.6,10244.960000000001,1.39
2011-01-09 16:00:00,25Abril_Principal2,0.249,0.0,0.18,58.21,-0.21100000000000002,9313.6,10244.960000000001,0.46
2011-01-09 17:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.249,9313.6,10244.960000000001,0.0
2011-01-09 18:00:00,25Abril_Principal2,0.249,0.0,0.0,58.21,0.249,9313.6,10244.960000000001,0.0
2011-01-09 19:00:00,25Abril_Principal2,1.403,0.0,0.0,58.21,1.403,9313.6,10244.960000000001,0.0
2011-01-09 20:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-09 21:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-09 22:00:00,25Abril_Principal2,0.473,0.0,0.0,58.21,0.473,9313.6,10244.960000000001,0.0
2011-01-09 23:00:00,25Abril_Principal2,0.208,0.0,0.0,58.21,0.208,9313.6,10244.960000000001,0.0
2011-01-10 00:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-10 01:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-10 02:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-10 03:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-10 04:00:00,25Abril_Principal2,0.092,0.0,0.0,58.21,0.092,9313.6,10244.960000000001,0.0
2011-01-10 05:00:00,25Abril_Principal2,0.093,0.0,0.0,58.21,0.093,9313.6,10244.960000000001,0.0
2011-01-10 06:00:00,25Abril_Principal2,0.205,0.0,0.0,58.21,0.205,9313.6,10244.960000000001,0.0
2011-01-10 07:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-10 08:00:00,25Abril_Principal2,0.33,0.0,0.0,58.21,0.33,9313.6,10244.960000000001,0.0
2011-01-10 09:00:00,25Abril_Principal2,0.138,0.0,0.3,58.21,-0.482,9313.6,10244.960000000001,0.62
2011-01-10 10:00:00,25Abril_Principal2,0.115,0.0,0.83,58.21,-1.585,9313.6,10244.960000000001,1.7
2011-01-10 11:00:00,25Abril_Principal2,0.168,0.0,0.96,58.21,-1.582,9313.6,10244.960000000001,1.75
