MONTH,DAY,Tariff_base,Tariff_self_cons,Tariff_EC,Tariff_EC_BESS,Tariff_surp
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SUNDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,MONDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,TUESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,WEDNESDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,THURSDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,FRIDAY,0.1583,0.1917,0.1917,0.1917,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
JANUARY,SATURDAY,0.1583,0.1044,0.1044,0.1044,0.0632
